tick,tick_dt,input_force,output_ang_vel,output_position,output_speed,output_angle
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.015518815023824573,0.0,1.2458160484066149e-05,0.0,-9.686987302486532e-08,0.0
3.0,0.009772709105163813,0.0,3.078025604841621e-08,-9.466810901261638e-10,4.982920097017685e-09,1.2174997839622527e-07
4.0,0.009516677004285157,0.0,-4.490296426984383e-06,-8.992602490246853e-10,1.6908160575269301e-09,1.2204290415114723e-07
5.0,0.010401084902696311,0.0,-3.234032082185353e-07,-8.816739276555055e-10,8.691215482270893e-09,7.533894977580878e-08
6.0,0.00942862406373024,0.0,5.121274599165417e-07,-7.997277242163014e-10,1.7183344789164946e-09,7.228970250451193e-08
7.0,0.010326234973035753,0.0,-5.220456656579149e-07,-7.819837986247407e-10,2.089500932698872e-09,7.757805099175409e-08
8.0,0.010256939916871488,0.0,6.602711908601139e-07,-7.605519131018014e-10,-3.5147388113499688e-09,7.222345996523767e-08
9.0,0.009247554000467062,0.0,6.068906033853792e-07,-7.930546500572977e-10,2.186805666521145e-07,7.832935345766928e-08
10.0,0.010366494068875909,0.0,-2.814931219482804e-07,1.47389614712027e-09,2.4695656219302923e-07,8.462068129812033e-08
11.0,0.01047878700774163,0.0,1.3326261068491198e-06,4.061701362505123e-09,2.3828392674794909e-07,8.167097482908006e-08
12.0,0.009355069021694362,0.0,5.340378641675949e-07,6.29086394399255e-09,1.732153706207793e-07,9.413778403876542e-08
13.0,0.010324402013793588,0.0,-3.9550376814410103e-07,8.079209065249727e-09,1.6841939012621432e-07,9.965140563901936e-08
14.0,0.010270716971717775,0.0,1.106701777999883e-06,9.808996953785394e-09,1.6126387874443358e-07,9.55892983751634e-08
15.0,0.009347663028165698,0.0,5.814795242986351e-07,1.1316437350903332e-08,1.6886756592272147e-07,1.0593437366857816e-07
16.0,0.010330531047657132,0.0,-1.9929651340497746e-07,1.3060928983610294e-08,1.7222271764944954e-07,1.1194136594792211e-07
