tick,tick_dt,input_force,output_angle,output_speed,output_ang_vel,output_position
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.009965781937353313,0.0,0.0,-6.220732893462437e-08,8.000308692013218e-06,0.0
3.0,0.008912378922104836,0.0,7.13017825570307e-08,2.89139175532489e-09,1.737931878965763e-08,-5.544152871973885e-10
4.0,0.009660030016675591,0.0,7.146966729820817e-08,9.589858721448576e-09,-7.290659889956824e-07,-5.264843560509817e-10
5.0,0.010731580085121095,0.0,6.364563724996299e-08,2.3102037086470033e-09,5.908401036820954e-07,-4.2357001917675925e-10
6.0,0.009493254940025508,0.0,6.925463298300823e-08,4.165615386569243e-09,7.54099439932231e-07,-4.0163866640718086e-10
7.0,0.010449918918311596,0.0,7.713491098664423e-08,4.801629679914928e-09,-7.704451422147939e-07,-3.5810832337266106e-10
8.0,0.009651028900407255,0.0,6.969932265295087e-08,-1.9335335566180896e-09,6.538573687993061e-07,-3.1176765656274885e-10
9.0,0.01036542106885463,0.0,7.647682959952905e-08,-1.3299793494440215e-09,-3.2096322368319886e-07,-3.318095460278554e-10
10.0,0.009642900084145367,0.0,7.338181330286677e-08,-2.967284091872407e-09,4.161135234586934e-07,-3.4463440400852075e-10
11.0,0.010468418942764401,0.0,7.77378639941822e-08,-1.5804624645639317e-09,-2.5535622109692093e-07,-3.756971770044413e-10
12.0,0.00958984496537596,0.0,7.528903742291845e-08,-3.6227629055107646e-09,5.276436155098732e-07,-3.908535670132054e-10
13.0,0.01056191697716713,0.0,8.086196548346603e-08,-2.4899376655359593e-09,-3.875822255522908e-07,-4.291168880491709e-10
14.0,0.00943194201681763,0.0,7.720631240530769e-08,-6.252751478673444e-09,6.73281133512199e-07,-4.5260183573599633e-10
15.0,0.0105284369783476,0.0,8.429491038820131e-08,-5.711472175084459e-09,-6.017548066583935e-07,-5.184335356204794e-10
16.0,0.009500977001152933,0.0,7.857765180980668e-08,-1.2032351532787374e-08,8.290903731955626e-07,-5.726981013986818e-10
17.0,0.009601900936104357,0.0,8.653849544030827e-08,-1.0849811065030556e-08,-3.8158506058623435e-07,-6.882315488448895e-10
18.0,0.010539324954152107,0.0,8.251684648914012e-08,-4.7547990401442957e-07,-9.108610009368462e-07,-8.025812333504017e-10
19.0,0.009562587016262114,0.0,7.380665890796192e-08,-4.3598709615647396e-07,5.627629188660947e-08,-5.349399189972342e-09
20.0,0.010463345097377896,0.0,7.439549717077229e-08,-4.3552005099551787e-07,-1.0962227112105081e-06,-9.91128263506121e-09
21.0,0.009398626978509128,0.0,6.409250882273478e-08,-4.398966405622856e-07,-3.189576983219872e-09,-1.4004573136029354e-08
22.0,0.012336378917098045,-2.0879889840355065e-05,6.405316099248453e-08,-9.537281761808161e-07,-2.19047941005015e-06,-1.9431304778364193e-08
23.0,0.014447998953983188,-3.380222503545129e-05,3.240511676735825e-08,-1.954102431862966e-06,-8.41124551128999e-08,-3.321076847020892e-08
24.0,0.014064525021240115,-7.41287352669732e-05,3.122211503782493e-08,-3.0187140404957753e-06,-4.981849380639587e-06,-6.069429101721176e-08
25.0,0.009737398009747267,2.775054687774346e-05,-1.728813520607564e-08,9.178210299468616e-07,2.388315670887643e-06,-9.008871110713145e-08
26.0,0.009868153952993453,-3.9053437232611154e-05,6.2801315225904626e-09,1.9565758751163014e-07,-3.208633379545281e-06,-8.10315118823208e-08
27.0,0.009556549950502813,9.465816032357547e-05,-2.438333364188467e-08,-7.17887246455686e-07,-1.4185246451828191e-06,-7.916170037407103e-08
28.0,0.010266033932566643,1.3427643615217676e-05,-3.894595578351355e-08,-3.5575290524301105e-07,-5.378501329941758e-07,-8.653155520594194e-08
29.0,0.010535140056163073,2.339529867715184e-06,-4.461228226383313e-08,-3.0480207089554117e-07,1.0239409148041244e-07,-9.027946188806397e-08
30.0,0.009149855934083462,-1.3906917905665029e-05,-4.367539107828599e-08,-4.240703150374574e-07,-4.932618189362e-07,-9.306835692516846e-08
31.0,0.010879668989218771,-1.2428530907593018e-06,-4.904191639333181e-08,-4.2911320904295966e-07,-1.6441964102448937e-06,-9.768210158092972e-08
32.0,0.009341720957309008,3.22909731945588e-05,-6.440154045684878e-08,1.5234144875498488e-07,1.6476561010945041e-06,-1.0169075743890445e-07
