tick,tick_dt,input_force,output_position,output_speed,output_angle,output_ang_vel
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.009109749924391508,0.0,0.0,-5.686389824927695e-08,0.0,7.313105179335521e-06
3.0,0.00965629203710705,0.0,-5.490944078633586e-10,3.1040272950177816e-09,7.061747930974393e-08,1.8462434276785323e-08
4.0,0.00978817802388221,0.0,-5.18711636108735e-10,2.846294773304196e-09,7.079819290319932e-08,4.758460482197554e-07
5.0,0.010552790015935898,0.0,-4.886752850426e-10,9.11406084590841e-09,7.581969632997531e-08,1.592690377305137e-07
6.0,0.00971619796473533,0.0,-4.0012126560111077e-10,9.04903416422081e-09,7.736718583021788e-08,6.270816831404914e-07
7.0,0.009494408033788204,0.0,-3.142060429343088e-10,1.05110642274049e-08,8.332095520046839e-08,-3.0580972913149004e-07
8.0,0.010555677930824459,0.0,-2.0325463423961245e-10,1.3305637081152862e-08,8.009292619164372e-08,-1.3649633521886832e-07
9.0,0.009557405952364206,0.0,-7.60872592002042e-11,1.0350421066170065e-08,7.8788375304947e-08,6.875549135255015e-07
10.0,0.010509883053600788,0.0,3.2694455760769175e-11,1.1235570542378796e-08,8.601449703902863e-08,-4.902994269909434e-07
11.0,0.009633366949856281,0.0,1.4093082968649987e-10,6.867892089539445e-09,8.12912627435206e-08,6.806295427320484e-07
12.0,0.010481828940100968,0.0,2.1291889974812494e-10,7.914594652087748e-09,8.842550518201708e-08,-3.443237647541029e-07
13.0,0.009353762026876211,0.0,2.8695013466294087e-10,5.69625636945681e-09,8.52047826263091e-08,5.781972288262603e-07
14.0,0.010580493020825088,0.0,3.472193354248091e-10,6.670427760933881e-09,9.132239437056575e-08,-6.074514815822276e-07
15.0,0.009354262962006032,0.0,4.0961627076964974e-10,-1.4198927844810158e-10,8.564013347518543e-08,9.399076466209043e-07
16.0,0.015637152013368905,-2.7032166161724816e-05,4.073959628382882e-10,-8.457190384192678e-07,1.0033761222392433e-07,-2.512981850954374e-06
17.0,0.014563324977643788,3.0289158240390627e-05,-1.1909085233441921e-08,-1.1448534586356092e-08,6.374024086555497e-08,5.29624297509399e-06
18.0,0.012616093968972564,3.0289158240390627e-05,-1.2053521021590423e-08,4.4194309630567403e-07,1.3055813992185158e-07,1.6147517186872404e-06
19.0,0.007807631976902485,-0.0001620974266509161,-8.602991970902948e-09,-1.7770973630459064e-06,1.431655270754323e-07,-3.839652970603478e-06
20.0,0.009327225969173014,2.937883436657723e-05,-2.517838064525361e-08,-1.1996592680225958e-06,1.0735221617540725e-07,-7.502265306480664e-06
21.0,0.010538085945881903,0.00015971382764412768,-3.78204931174495e-08,2.0832202889378985e-06,2.8292699586905973e-08,5.939673056566225e-06
22.0,0.009838029043748975,-0.00010211155565995736,-1.7325711410351325e-08,1.0109550649160318e-07,8.672737562777774e-08,1.1188589183751317e-06
23.0,0.00984752899967134,-4.0024909246431044e-05,-1.63301704784388e-08,-5.330362004976449e-07,9.774537127301777e-08,-9.130213055142457e-07
24.0,0.00954320200253278,-5.386859302988837e-06,-2.141704261445039e-08,-3.862643900706112e-08,8.903222452187912e-08,2.2775945746182966e-07
25.0,0.010424477979540825,-1.9779267238797035e-05,-2.1819703077307576e-08,-3.9085016785546914e-07,9.140649797082212e-08,-5.908347679928191e-07
26.0,0.010615344042889774,-9.132165056449496e-06,-2.5968712078314598e-08,-5.858096176854088e-07,8.513458363607739e-08,-8.659316515739887e-08
27.0,0.009983989060856402,-3.0301654379263663e-05,-3.181742889303019e-08,-5.797923480549748e-07,8.427003842240099e-08,-8.189459080330921e-07
28.0,0.009777975035831332,-9.098742013059804e-06,-3.7486623998277766e-08,-5.406392429790396e-07,7.62624057779572e-08,-8.523988062711447e-07
29.0,0.009937786031514406,-6.086904180885131e-06,-4.285938111524339e-08,-4.643737334310387e-07,6.779144882771627e-08,-6.693035096177891e-07
30.0,0.009977487963624299,-7.93206538084975e-06,-4.749266445117486e-08,-6.44063495134719e-07,6.111348111649327e-08,-1.1040761736758379e-06
31.0,0.009935971000231802,-1.3223157024086786e-06,-5.3892060661141366e-08,-1.5364932731867902e-07,5.014341227280325e-08,4.438171484723851e-08
32.0,0.010075579048134387,-1.5889802231631304e-05,-5.5440166604233394e-08,1.6465238907582297e-07,5.0590583749038364e-08,7.930274635415031e-07
33.0,0.010128448018804193,-2.6186039801026386e-05,-5.3772493440307e-08,-1.2128099933264046e-07,5.8622721191002616e-08,3.50821484316639e-08
34.0,0.009822177002206445,-1.544535309589094e-05,-5.496373688275667e-08,-1.8589205777600717e-07,5.8967304262516096e-08,4.3155023988189e-08
35.0,0.009575071977451444,-1.813003726008869e-05,-5.67436667159985e-08,3.752441278117528e-07,5.938051672339165e-08,1.6857619773140892e-06
36.0,0.010486235958524048,-4.5535125948458575e-05,-5.28087682497139e-08,-4.0889042432207936e-07,7.705781458741526e-08,-4.865344273711631e-07
37.0,0.010332240024581552,-1.288571611321748e-05,-5.703352225756262e-08,-6.772929104350882e-07,7.203082410359406e-08,-1.2663149295737125e-07
38.0,0.010409164009615779,-3.268692675218478e-05,-6.408357524483146e-08,5.463031246930915e-07,7.071269612461828e-08,1.7459666590398497e-06
39.0,0.010151668917387724,-4.2844243908228445e-05,-5.8537686794412816e-08,-2.961925024992255e-07,8.84371715879884e-08,-1.989241806179105e-07
40.0,0.009799288935028017,-1.8811544819260748e-05,-6.144016270679173e-08,2.844646358743177e-07,8.648785606594981e-08,1.4395516051865745e-06
41.0,0.009600664023309946,-4.517390774784915e-05,-5.8709113311249204e-08,-5.156952689664154e-07,1.0030850737156264e-07,-6.660601161256403e-07
42.0,0.0100316540338099,-1.464931654324607e-05,-6.388238983639282e-08,-5.069363618073471e-07,9.362682272087096e-08,-6.01557167498097e-07
43.0,0.01050269789993763,-1.570570579007277e-05,-6.920658929894887e-08,-4.789041457842976e-07,8.730884952109627e-08,-4.0483492861009966e-07
44.0,0.00989099103026092,-1.9946083246466674e-05,-7.394342590925613e-08,-7.332238454437815e-07,8.330463087347746e-08,-5.384727141275163e-07
45.0,0.010124447988346219,-2.5088447150741694e-05,-8.13669125962669e-08,-6.840759510868229e-07,7.785289188614979e-08,-9.303698892825519e-07
46.0,0.008681870996952057,-2.5088447150741694e-05,-8.730597175571998e-08,-8.323727862616649e-07,6.97755405279501e-08,-1.3516398732267041e-06
47.0,0.010948798968456686,-4.285797818964116e-06,-9.641945405931312e-08,-8.304886788230051e-07,5.497670727824064e-08,-2.1378595124387436e-06
48.0,0.009656904032453895,1.979202133042941e-05,-1.044394035307463e-07,-4.7130729736747047e-07,3.433160313175102e-08,1.5262357533894559e-06
49.0,0.009465390001423657,-7.136199225234966e-05,-1.0890051091084636e-07,-1.3196060297720693e-06,4.877801977169888e-08,-2.3917076978512382e-06
50.0,0.01049593894276768,9.438703734016902e-06,-1.2275101522784206e-07,-6.133135415924784e-07,2.3674801806104833e-08,-7.45510771896973e-07
51.0,0.009906250052154064,-1.0478405386667543e-05,-1.2882665253122934e-07,-8.517634013392586e-07,1.6289585683119028e-08,-1.9219150985695652e-07
52.0,0.010228537954390049,-3.462456955623029e-05,-1.3753894680998832e-07,-7.558112047182964e-07,1.432374753003562e-08,-1.0128546310921135e-06
53.0,0.009915322996675968,-7.63754923831567e-06,-1.45033059029277e-07,-3.2049034724162014e-07,4.280966714078233e-09,-4.218523865060245e-07
54.0,0.010005987947806716,-8.223574123641502e-06,-1.4823988158116506e-07,3.310273016526151e-07,5.991681894545208e-11,1.69419912608774e-06
55.0,0.00951412902213633,-4.560261524374876e-05,-1.4509044512339243e-07,-3.4782239505497663e-07,1.6178745893734827e-08,-1.8994116060344214e-07
56.0,0.01057617797050625,-1.7346497651023353e-05,-1.487690766756216e-07,-6.274628206329689e-07,1.4169894375268312e-08,-8.242858568088787e-07
57.0,0.010829080012626946,-9.075577712213707e-06,-1.5556392176520462e-07,-8.295316143748094e-07,5.243636878608207e-09,-2.4874444448273775e-08
58.0,0.009516833000816405,-3.889176799414392e-05,-1.6345843560810732e-07,-7.438827297431106e-07,5.0069109448059e-09,-8.974895598236601e-07
59.0,0.009252320043742657,-1.093097065410932e-05,-1.703410766987035e-07,-9.690771077674415e-07,-3.2969496986003246e-09,-1.8097602428428683e-06
60.0,0.010065153008326888,7.927505467259561e-06,-1.8009498606524968e-07,-6.095999240500677e-07,-2.151246345120062e-08,-7.69293007961056e-07
61.0,0.010270389029756188,-7.590389283800636e-06,-1.8635581443775369e-07,-7.678625004176464e-07,-2.941340192083199e-08,-1.734321608739113e-07
62.0,0.00991624896414578,-3.001249921927731e-05,-1.9397013016212656e-07,-6.581892717601635e-07,-3.113319840644748e-08,-7.329851912698953e-07
63.0,0.009444315917789936,-1.0059348526939747e-05,-2.0018627757832963e-07,3.183417069735995e-07,-3.805574211586205e-08,1.6295775823110839e-06
64.0,0.009922527009621263,-4.265403652829511e-05,-1.9702752339259514e-07,-4.651006826792223e-07,-2.1886214541107e-08,-6.011941339964975e-07
65.0,0.01075735897757113,-8.151221166357178e-06,-2.0203077839688894e-07,-4.794170530923289e-07,-2.8353475655717323e-08,-2.546491774232122e-07
66.0,0.010477976989932358,-1.8230983197425042e-05,-2.0705409924777155e-07,-8.697810601273332e-07,-3.1021683877262944e-08,-2.1226357707748157e-07
67.0,0.00949098204728216,-3.35783749106082e-05,-2.153091756745061e-07,9.08385472455726e-07,-3.3036273676597216e-08,2.6981001546316998e-06
68.0,0.009731160942465067,-5.369050775393922e-05,-2.0646953044424227e-07,-7.219438149932518e-08,-6.780626832986262e-09,-3.896206660643625e-07
69.0,0.010136484983377159,-2.373653848994908e-06,-2.0720132770819437e-07,-4.2538281831732567e-07,-1.0730010863761078e-08,-6.865488408763435e-07
70.0,0.009518536040559411,-6.144889122490691e-06,-2.1125034939538258e-07,-5.072782856838356e-07,-1.726495074924684e-08,-3.780721112182704e-09
71.0,0.012777201016433537,-2.8352222888065276e-05,-2.1773194602283675e-07,-9.242234032772233e-07,-1.7313257782884274e-08,-1.5297202735219331e-06
72.0,0.007955220993608236,-2.8352222888065276e-05,-2.2508434744337177e-07,-1.4991712714217981e-06,-2.9482520617154088e-08,-3.4970098914845216e-07
73.0,0.009761697030626237,-5.3623575266747125e-05,-2.397188031920101e-07,-2.5508935540642196e-06,-3.289619572453159e-08,-7.129561965198221e-06
74.0,0.009642773889936507,0.00010425427956114406,-2.643164929511479e-07,-5.960027095303073e-07,-1.0164494968922942e-07,1.5005493475030417e-06
