tick,tick_dt,input_force,output_speed,output_angle,output_ang_vel,output_position
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.009362597018480301,0.0,-5.844219310367318e-08,0.0,7.516085218166507e-06,0.0
3.0,0.01033299695700407,0.0,3.605236688838719e-09,7.766368568789779e-08,2.1371506375895185e-08,-6.038830035008993e-10
4.0,0.009425929747521877,0.0,1.472564396797262e-09,7.786513200559569e-08,7.455279572340295e-07,-5.699002957487171e-10
5.0,0.009892427362501621,0.0,2.8052574149638266e-09,8.524021316924754e-08,-4.519091557209715e-07,-5.553330594167942e-10
6.0,0.009954813867807388,0.0,1.2868193761690772e-09,8.074154163888728e-08,2.2503990591974605e-07,-5.274072439995428e-10
7.0,0.009559317491948605,0.0,5.866579571536721e-09,8.289276954793237e-08,1.2005292583780933e-07,-5.151061290279513e-10
8.0,0.010754216462373734,0.0,8.737758474170385e-09,8.418384469933348e-08,-4.0868207430241415e-08,-4.520156624219057e-10
9.0,0.009635224007070065,0.0,6.3449486110810935e-09,8.37900703659757e-08,7.942889627682993e-07,-3.678254022035993e-10
10.0,0.00966272410005331,0.0,7.644225578502022e-09,9.146506546892329e-08,-4.921578796282769e-07,-3.0651591434570623e-10
11.0,0.010348552837967873,0.0,-1.266250471550479e-07,8.637194364696783e-08,-1.7418218181134627e-07,-2.2740924204123253e-10
12.0,0.009791760705411434,0.0,-1.1869777579631423e-07,8.466639340352466e-08,2.448145268415973e-07,-1.4672914030949002e-09
13.0,0.010513939894735813,0.0,-1.165870332818674e-07,8.72403586240954e-08,-2.475176723115049e-07,-2.7152726834561755e-09
14.0,0.00999375805258751,0.0,-1.1656312213969362e-07,8.476672689327459e-08,3.035999209023764e-07,-3.880415286144126e-09
15.0,0.009875333867967129,0.0,-1.143641976974578e-07,8.776487747447397e-08,-1.6367435414148981e-07,-5.031515033966231e-09
16.0,0.010340997017920017,0.0,-1.1155239441052831e-07,8.607232146638684e-08,-1.0620536570470173e-07,-6.2141548613124575e-09
17.0,0.009764148853719234,0.0,-1.0950843792628478e-07,8.503531646658245e-08,1.4164664676135293e-07,-7.303369045325654e-09
18.0,0.00974118709564209,0.0,-1.0723576677254673e-07,8.641512295415512e-08,-1.5773682448100132e-07,-8.370111227717102e-09
