tick,force_value,force_target
1.0,0.0,
2.0,0.0,
3.0,0.0,
4.0,0.0,
5.0,0.0,
6.0,0.0,
7.0,0.0,
8.0,0.0,
9.0,-2.717674937143103e-05,-2.717674937143103e-05
10.0,-2.717674937143103e-05,
11.0,-5.507502307404516e-06,-5.507502307404516e-06
12.0,-5.507502307404516e-06,
13.0,-5.507502307404516e-06,
14.0,-5.507502307404516e-06,
15.0,-5.507502307404516e-06,
16.0,-5.507502307404516e-06,
17.0,-5.507502307404516e-06,
18.0,-5.507502307404516e-06,
19.0,-5.507502307404516e-06,
20.0,-5.507502307404516e-06,
21.0,-5.507502307404516e-06,
22.0,-5.507502307404516e-06,
23.0,-5.507502307404516e-06,
24.0,-5.507502307404516e-06,
25.0,-5.507502307404516e-06,
26.0,-5.507502307404516e-06,
27.0,-5.507502307404516e-06,
28.0,-5.507502307404516e-06,
29.0,-5.507502307404516e-06,
30.0,-5.507502307404516e-06,
31.0,-5.507502307404516e-06,
32.0,-2.0514206196680953e-05,-2.0514206196680953e-05
33.0,-2.0514206196680953e-05,
34.0,-2.0514206196680953e-05,
35.0,-2.0514206196680953e-05,
36.0,-3.139060126220912e-05,-3.139060126220912e-05
37.0,-3.139060126220912e-05,
38.0,-3.139060126220912e-05,
39.0,-3.139060126220912e-05,
40.0,-3.139060126220912e-05,
41.0,-3.139060126220912e-05,
42.0,-3.139060126220912e-05,
43.0,-3.139060126220912e-05,
44.0,-3.139060126220912e-05,
45.0,-3.139060126220912e-05,
46.0,-3.139060126220912e-05,
47.0,-3.139060126220912e-05,
48.0,-3.139060126220912e-05,
49.0,2.243208327424239e-06,2.243208327424239e-06
50.0,2.243208327424239e-06,
51.0,-3.395531526447435e-05,-3.395531526447435e-05
52.0,-3.395531526447435e-05,
53.0,-3.395531526447435e-05,
54.0,-3.395531526447435e-05,
55.0,-3.395531526447435e-05,
56.0,-2.2822314075918355e-06,-2.2822314075918355e-06
57.0,-2.2822314075918355e-06,
58.0,-2.2822314075918355e-06,
59.0,-2.2822314075918355e-06,
60.0,-2.2822314075918355e-06,
