tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
1.0,0.0,0.0,0.0,0.0,,,,
2.0,0.0,-9.878285556584477e-08,0.0,1.2704183760016873e-05,,,,
3.0,-8.72070946562193e-10,4.481202503639061e-09,1.1215457878227829e-07,2.645322161384178e-08,,,,
4.0,-8.277676769563714e-10,8.468579511764544e-09,1.1241610773754172e-07,-6.4352982130388155e-06,,,,
5.0,-7.435734830932535e-10,-4.989716207883827e-08,4.843669483094063e-08,1.3287012779999194e-06,-7.435734830932535e-10,-4.989716207883827e-08,4.843669483094063e-08,1.3287012779999194e-06
6.0,-1.2811867658083682e-09,-3.6604033829364775e-08,6.275268848774734e-08,3.353208171586892e-08,,,,
7.0,-1.6378703092164951e-09,-3.814692737766208e-08,6.307943776844198e-08,6.087607609693556e-07,,,,
8.0,-2.0158239242052843e-09,-3.739330627314998e-08,6.91109413806156e-08,-5.707153815777953e-07,,,,
9.0,-2.379176324879737e-09,-6.897180600183854e-07,6.35652749320986e-08,-1.5206028394405521e-06,,,,
10.0,-9.686599860938549e-09,2.091738333734496e-07,4.7454794980871066e-08,7.7202568265272e-07,-9.686599860938549e-09,2.091738333734496e-07,4.7454794980871066e-08,7.7202568265272e-07
11.0,-7.712825945942252e-09,1.057940706461122e-07,5.473966484031766e-08,6.884328311353398e-07,,,,
12.0,-6.5618668609376554e-09,1.0640434395119273e-07,6.222929083326336e-08,-5.378637685939414e-07,,,,
13.0,-5.602788017278217e-09,-2.780681189095056e-07,5.738123912716003e-08,5.344386913823293e-07,,,,
14.0,-8.577076921998444e-09,-7.26886188340678e-07,6.309773433799349e-08,-2.4664520048483827e-06,,,,
15.0,-1.5552632247652458e-08,-1.143189064417061e-06,3.942845475357174e-08,-4.958889260565645e-07,-1.5552632247652458e-08,-1.143189064417061e-06,3.942845475357174e-08,-4.958889260565645e-07
16.0,-2.6236697752750224e-08,-1.2238536323419673e-06,3.4793954709659455e-08,-2.6321237179582858e-06,,,,
17.0,-3.930886071446246e-08,-9.503965020202779e-07,6.679849176715709e-09,-1.9261450646327722e-06,,,,
18.0,-4.852926166865126e-08,-1.5161477940405908e-06,-1.2006909196335567e-08,-1.7830837093692886e-06,,,,
19.0,-6.470164636365131e-08,-1.4513479014708641e-06,-3.102663524458373e-08,-3.1324265569070893e-06,,,,
20.0,-7.888148652273298e-08,-1.53143492090472e-06,-6.16308121218097e-08,-2.7879718254145595e-06,-7.888148652273298e-08,-1.53143492090472e-06,-6.16308121218097e-08,-2.7879718254145595e-06
21.0,-9.329896767772091e-08,-1.2251962883869602e-06,-8.787778527415598e-08,-2.5907736695182083e-06,,,,
22.0,-1.0787691055332501e-07,-3.1776140051394725e-07,-1.1870398913703216e-07,-8.566700893906196e-07,,,,
23.0,-1.1066709522238516e-07,1.5383604295426366e-07,-1.262261983984279e-07,1.6663561699793691e-06,,,,
24.0,-1.0918626546817178e-07,6.812384857354186e-07,-1.1018581052680197e-07,-9.015218617421743e-07,,,,
