tick,force_value,force_target
1.0,0.0,
2.0,-0.0,-0.0
3.0,-0.00022829677087355172,-0.00022829677087355172
4.0,-4.59365034492762e-06,-4.59365034492762e-06
5.0,7.809144053448207e-06,7.809144053448207e-06
6.0,-3.7808909909187515e-05,-3.7808909909187515e-05
7.0,-1.226954232763187e-05,-1.226954232763187e-05
8.0,-7.272433960767013e-06,-7.272433960767013e-06
9.0,-2.828412674766954e-05,-2.828412674766954e-05
10.0,-1.4547153246190031e-06,-1.4547153246190031e-06
11.0,2.178184436898707e-05,2.178184436898707e-05
12.0,-5.297951909655839e-05,-5.297951909655839e-05
13.0,1.2620094100425468e-05,1.2620094100425468e-05
14.0,2.6556224324972207e-06,2.6556224324972207e-06
15.0,-2.7565789404495735e-05,-2.7565789404495735e-05
16.0,-8.134235404334738e-06,-8.134235404334738e-06
17.0,2.489029542514747e-05,2.489029542514747e-05
18.0,-3.269400822560089e-05,-3.269400822560089e-05
19.0,-1.0058410561879704e-05,-1.0058410561879704e-05
20.0,-3.854165359289192e-05,-3.854165359289192e-05
21.0,-1.4252539735131151e-05,-1.4252539735131151e-05
22.0,-1.4528015186618472e-05,-1.4528015186618472e-05
23.0,1.2009421567594794e-05,1.2009421567594794e-05
24.0,-3.0388567802641033e-05,-3.0388567802641033e-05
25.0,-2.1881552586302846e-05,-2.1881552586302846e-05
26.0,-2.30564722656756e-09,-2.30564722656756e-09
27.0,-5.442375191539949e-06,-5.442375191539949e-06
28.0,-1.7504588548732953e-05,-1.7504588548732953e-05
29.0,-1.2833350563987172e-05,-1.2833350563987172e-05
30.0,-1.426342381607108e-05,-1.426342381607108e-05
31.0,-2.345935941252867e-05,-2.345935941252867e-05
32.0,-3.5814285642286225e-05,-3.5814285642286225e-05
33.0,-2.1456642630168744e-05,-2.1456642630168744e-05
34.0,-2.799789284110656e-07,-2.799789284110656e-07
35.0,-1.5822242724316305e-05,-1.5822242724316305e-05
36.0,-1.0878371789060504e-05,-1.0878371789060504e-05
37.0,-3.724238889992759e-05,-3.724238889992759e-05
