tick,tick_dt,input_force,output_ang_vel,output_angle,output_position,output_speed
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.009807787835597992,-0.0,7.873474531524422e-06,0.0,0.0,-6.122111519657403e-08
3.0,0.008994928561151028,-0.00023033233296857942,-2.858426232357043e-07,7.082134093910424e-08,-5.506795576271809e-10,-1.2760465916144892e-07
4.0,0.01026093028485775,-4.767921514787367e-06,1.5832074889893565e-08,6.788832970964182e-08,-1.8600220693058431e-09,3.475329352407772e-07
5.0,0.009452403523027897,3.98391616798187e-06,1.5468084570788832e-06,6.803798087010788e-08,1.4249994721323052e-09,4.1421266824588307e-07
6.0,0.010228540748357773,-3.778482075374598e-05,-9.294746996277617e-07,8.385957420324365e-08,5.66179062777132e-09,-3.541674321950179e-07
7.0,0.010277336463332176,4.480034791340962e-06,7.221387192272513e-08,7.430704998101454e-08,2.0218927627487363e-09,-2.656702148776813e-07
8.0,0.010292262770235538,-2.0410831983414053e-05,-4.2692912127571257e-07,7.505029412649936e-08,-7.124548989972986e-10,-2.2872554312013642e-07
9.0,0.009577920660376549,-4.855534219570646e-06,-1.1967142994330423e-07,7.096120087531631e-08,-2.9031700040035004e-09,-9.000581250329704e-08
10.0,0.009899342432618141,-8.371252730213264e-06,-6.777907732156031e-07,6.977653241090647e-08,-3.7941683628996614e-09,-2.443391717471547e-07
11.0,0.01018278207629919,2.2948327657816587e-06,-6.311014220371617e-07,6.287473667392565e-08,-6.282220901504378e-09,-2.4138037966137725e-07
12.0,0.01034576166421175,1.724531148566189e-06,-7.867063442586485e-09,5.6345511775584064e-08,-8.779484779897932e-09,-2.0819507405068158e-07
13.0,0.009884415194392204,-1.4498907689576416e-05,-5.425951718416311e-07,5.6267750454156915e-08,-1.08373713332421e-08,-3.4435939735072556e-07
14.0,0.009181592613458633,-4.050202987727332e-06,-4.398574041170171e-07,5.128586263227748e-08,-1.3999139032332587e-08,-2.557145167637888e-07
15.0,0.010839957743883133,-3.4051836179617307e-06,-1.106978204323908e-06,4.651782695831489e-08,-1.6771073588549553e-08,-2.973659782455274e-07
16.0,0.01004713587462902,1.4819413992787322e-05,1.2662162407897238e-06,3.539586652921974e-08,-1.9758749976474343e-08,-1.358289215449944e-08
17.0,0.009848435409367085,-4.2506443031903944e-05,-1.2313165214651791e-06,4.786611539092893e-08,-1.989252021253033e-08,-6.084944947958461e-07
18.0,0.009894360788166523,6.8071540356695965e-06,-6.897635134586227e-07,3.568302548312226e-08,-2.591318428165355e-08,-3.7030640172024514e-07
19.0,0.009900879114866257,8.47653637315423e-07,-2.685018699665179e-07,2.8853760318523015e-08,-2.95795432005468e-08,-1.8443048055690745e-07
20.0,0.009918119758367538,-4.0219691020544106e-06,1.0478956053760369e-07,2.6190726616849462e-08,-3.140874679380348e-08,-2.57329015639741e-08
21.0,0.009854434989392757,-8.875081703436403e-06,1.2941885164732097e-08,2.7223368528734314e-08,-3.1662329999354106e-08,-6.710054869249508e-08
