tick,tick_dt,input_force,output_ang_vel,output_speed,output_position,output_angle
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.009721111506223679,-0.0,7.803892696851297e-06,-6.068007356365609e-08,0.0,0.0
3.0,0.00880554411560297,-0.00022829677087355172,-2.7955836616684474e-07,-1.2467786799171395e-07,-5.343210647028072e-10,6.871752141555593e-08
4.0,0.009931516833603382,-4.59365034492762e-06,-1.8112241747252511e-07,2.8912408427785585e-07,-1.7725614094402947e-09,6.594108279599526e-08
5.0,0.010194738395512104,7.809144053448207e-06,1.5940824242986688e-06,4.3884072018912985e-07,1.1749829936144396e-09,6.409458713230013e-08
6.0,0.010210477747023106,-3.7808909909187515e-05,-2.9453699096857786e-07,-3.2014557696612695e-07,5.655756401593144e-09,8.037093025252233e-08
7.0,0.009888184256851673,-1.226954232763187e-05,-2.0822260064307e-07,-1.1777018823783348e-07,2.4900979475359916e-09,7.745849421536637e-08
8.0,0.010290459729731083,-7.272433960767013e-06,1.059933445525085e-06,3.111726978551959e-07,1.278188568111717e-09,7.531578792862897e-08
9.0,0.009004468098282814,-2.828412674766954e-05,-5.62693130173267e-07,-2.1893169953878353e-07,4.0801331990054256e-09,8.485992482516258e-08
10.0,0.010934269055724144,-1.4547153246190031e-06,-1.3696361439567158e-06,-2.3919370648683056e-07,1.686275091421409e-09,7.870728674404046e-08
11.0,0.009720888920128345,2.178184436898707e-05,1.768356040988944e-06,1.6667970176485895e-07,-6.389003597308539e-10,6.539320592764432e-08
12.0,0.009476466104388237,-5.297951909655839e-05,-1.8095127048008075e-06,-8.312005843888625e-07,9.40634184333372e-10,8.215097201056622e-08
13.0,0.01061230804771185,1.2620094100425468e-05,-9.56708485540015e-07,-4.7321928622761623e-07,-7.880322466639346e-09,6.294786577097177e-08
14.0,0.010623733513057232,2.6556224324972207e-06,1.816260527719091e-07,-4.2236975681426564e-07,-1.2907678056760696e-08,5.278404977091409e-08
15.0,0.009124523028731346,-2.7565789404495735e-05,-1.202262269129372e-07,-1.1598639287704519e-07,-1.676160062945212e-08,5.444130087204895e-08
16.0,0.01001062709838152,-8.134235404334738e-06,-1.361933602366017e-06,-1.9950252806819093e-07,-1.7922697157030595e-08,5.323776094697813e-08
17.0,0.010199904441833496,2.489029542514747e-05,1.2946463165634753e-06,2.9313039183360485e-07,-1.9957603879230345e-08,3.9346168346722694e-08
18.0,0.009921368211507797,-3.269400822560089e-05,-2.5682879564968817e-07,-2.851876464697591e-07,-1.7049349327865594e-08,5.219083115702122e-08
19.0,0.009923720732331276,-1.0058410561879704e-05,1.9694730637437074e-06,7.047997148120775e-07,-1.9879471887742304e-08,4.9642133912972737e-08
20.0,0.01040103193372488,-3.854165359289192e-05,1.6999272458207576e-07,-8.175576559830198e-09,-1.2548827547101697e-08,7.012668614158201e-08
21.0,0.009343041107058525,-1.4252539735131151e-05,-1.1974573453684359e-07,-2.420876329557113e-07,-1.2625212294974096e-08,7.171493515525322e-08
22.0,0.010330459102988243,-1.4528015186618472e-05,-1.4032170492632567e-06,-5.359761422134977e-07,-1.51260886865623e-08,7.047790674186307e-08
23.0,0.01026199571788311,1.2009421567594794e-05,4.0473555379365253e-07,-2.9890311722120285e-07,-2.0626273562844724e-08,5.607809939106296e-08
24.0,0.009503502398729324,-3.0388567802641033e-05,7.357687901162873e-07,2.1754362222202537e-07,-2.3466900054344098e-08,5.992450469739198e-08
25.0,0.009834740310907364,-2.1881552586302846e-05,-5.311510243981047e-07,-1.712855418640917e-07,-2.1327415023496343e-08,6.716059967705618e-08
26.0,0.01007620245218277,-2.30564722656756e-09,-3.803335239234972e-07,-2.1559289540348884e-07,-2.305332282045076e-08,6.18086144225366e-08
27.0,0.010088237933814526,-5.442375191539949e-06,-8.698927141936889e-08,-3.2301794373808386e-07,-2.5228275246121144e-08,5.797171933899022e-08
28.0,0.010098366998136044,-1.7504588548732953e-05,9.560086538286005e-09,-1.1464820825257592e-07,-2.8490228988971574e-08,5.7093269751296966e-08
29.0,0.010044035501778126,-1.2833350563987172e-05,1.008465444025773e-07,-7.899330846193485e-08,-2.9641759662875697e-08,5.718929159988758e-08
30.0,0.009905443526804447,-1.426342381607108e-05,7.716737089499965e-07,2.0805020666377162e-07,-3.0424223418840835e-08,5.818822135034069e-08
31.0,0.010291828773915768,-2.345935941252867e-05,1.620762350107974e-06,5.685107133824987e-07,-2.828300631547951e-08,6.613015503218657e-08
32.0,0.009466632269322872,-3.5814285642286225e-05,1.5453007507817683e-07,-1.6582021258839645e-07,-2.2901124450716982e-08,8.147331619662229e-08
33.0,0.010004998184740543,-2.1456642630168744e-05,-1.117440122343979e-06,-5.906651015326614e-07,-2.456015537665718e-08,8.301938931726726e-08
34.0,0.01014710869640112,-2.799789284110656e-07,-4.119629415550766e-07,-4.831283200666995e-07,-3.05536983650799e-08,7.168060293412315e-08
35.0,0.009811481460928917,-1.5822242724316305e-05,-4.889756145893368e-07,-4.1399085407428886e-07,-3.529390292066406e-08,6.763863617046577e-08
36.0,0.009858869016170502,-1.0878371789060504e-05,1.3329024741580592e-06,3.0571500343390326e-07,-3.937538452487503e-08,6.281788963412803e-08
37.0,0.010750159621238708,-3.724238889992759e-05,-1.1459249712395742e-07,-2.084780495846844e-07,-3.608889943935303e-08,7.714680399087117e-08
38.0,0.009864240884780884,-1.5449570050664134e-05,6.129873742062886e-09,-5.286795399574858e-07,-3.814537713964565e-08,7.601643599565189e-08
39.0,0.009977053850889206,-3.0535774962740266e-05,-1.6240421668634037e-06,-8.841799810652148e-07,-4.3420041379664814e-08,7.60775940760756e-08
40.0,0.0098942955955863,3.5004833383797538e-06,-7.015007091558642e-07,-4.7529427185478224e-07,-5.2168379472023946e-08,6.00088408174326e-08
41.0,0.009925683960318565,-7.006897342685438e-06,1.159195299041159e-06,3.211257350042717e-07,-5.688600020260425e-08,5.304596648041213e-08
42.0,0.010412309318780899,-3.149797561211475e-05,1.228302029983403e-07,-1.2931098291912045e-07,-5.35423397195189e-08,6.51158664949054e-08
43.0,0.009829257614910603,-1.903496288441267e-05,-2.172999500726663e-07,-3.958536630624427e-07,-5.481337068306824e-08,6.632319620306785e-08
44.0,0.010042368434369564,-1.9056461981806382e-05,-7.395124531252322e-07,-5.241817487409737e-07,-5.878867901363608e-08,6.414099004366802e-08
45.0,0.009488706476986408,-8.54700206677689e-06,-1.4889679590766497e-06,-8.349914650330147e-07,-6.376248576803262e-08,5.712397343988653e-08
46.0,0.010169756598770618,2.4485474502833083e-06,-9.383529860496091e-07,-6.1289402690963e-07,-7.225414572946926e-08,4.1981531712708746e-08
47.0,0.009716647677123547,-4.147730847627296e-06,-3.7098977460324425e-07,-6.141068868342999e-07,-7.820942105236362e-08,3.2863886350487866e-08
48.0,0.0108001958578825,-1.9890771340973062e-05,-6.807963185538357e-07,-5.292439997308358e-07,-8.484189570784854e-08,2.8857124123501147e-08
49.0,0.009852499701082706,-7.745156419388934e-06,-1.063344488167842e-07,-7.30328670842511e-07,-9.005627205699641e-08,2.2149578598451274e-08
50.0,0.009948165155947208,-3.1180594986671575e-05,-1.8304875326201714e-06,-1.0132047593728475e-06,-9.732170229266111e-08,2.109174593985529e-08
51.0,0.009865942411124706,8.228892965625627e-06,-4.6308580251903227e-07,-4.04359555264847e-07,-1.073179220993111e-07,3.032261358742922e-09
52.0,0.009916907176375389,-7.756051271247344e-06,1.2224204500220485e-06,3.2047097300031657e-07,-1.1132791827475301e-07,-1.5601175595356254e-09
53.0,0.009738425724208355,-3.000628380233113e-05,2.0543560664183462e-08,-1.9711261056656002e-07,-1.0820703550742465e-07,1.0344333196757446e-08
54.0,0.010000905953347683,-1.5174663476469815e-05,-1.268847940034929e-07,-2.7597868009034823e-07,-1.1017834018791966e-07,1.0549787414906837e-08
