tick,tick_dt,input_force,output_ang_vel,output_position,output_speed,output_angle
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.018343967385590076,-0.0,1.4726130136443194e-05,0.0,-1.145047343296158e-07,0.0
3.0,0.018732760101556778,-0.00043080140747837697,-7.061450288707749e-07,-2.1449897186891855e-09,-3.398536071155894e-07,2.7586106307029593e-07
4.0,0.009846162982285023,-2.4674464858550126e-05,-3.6534274094904882e-06,-5.4912437244667395e-09,-1.6798640100642969e-06,2.689082440269039e-07
5.0,0.01103037316352129,1.2783628309491677e-05,-8.912623206932129e-06,-2.402077061944522e-08,-6.003622719993244e-07,2.2860957637438693e-07
6.0,0.010008994489908218,0.00020799039500491286,6.5158790553387154e-06,-3.002979329183524e-08,2.7496352840897804e-06,1.3940317980557511e-07
7.0,0.00982140377163887,-0.00010737489052201589,9.137963983185537e-07,-3.024514942044553e-09,6.707497117194087e-07,2.0339825893522148e-07
8.0,0.009926308877766132,-2.64450999204182e-05,3.320232229326554e-07,3.6335538761548874e-09,1.5547023186684316e-07,2.1246888423632166e-07
9.0,0.014181768521666527,-2.8957036910774273e-05,-1.093114089612725e-06,5.838396716500279e-09,-6.010220248094458e-07,2.1717756072777026e-07
10.0,0.01647956110537052,-1.5515164515248412e-05,2.3944345659693185e-06,-4.066182467020499e-09,-1.120336343292542e-06,1.991635202928559e-07
11.0,0.0188361844047904,-0.00013381203103580834,-7.85282404232196e-06,-2.5169044424667386e-08,-4.256827270024255e-06,2.4426553132265824e-07
12.0,0.009672997519373894,4.2848916410228796e-05,-4.955431559345868e-06,-6.634532404801515e-08,-2.745614234546264e-06,1.6830518384119827e-07
13.0,0.009803014807403088,2.031211760270243e-05,-1.0143925636771388e-05,-9.326062104468887e-08,-2.3318535715123862e-06,1.1972701488785816e-07
14.0,0.010866374708712101,0.00018984312041280639,-1.4601922872388284e-06,-1.1859941571859105e-07,-7.899798470158301e-07,9.499317901389245e-09
15.0,0.011897772550582886,5.743269728250195e-06,-9.759639592989275e-08,-1.2799841625792966e-07,-9.032281899645878e-07,-7.873717812293728e-09
16.0,0.008997558616101742,-3.6319154838936014e-05,-1.4607830807300281e-06,-1.3612526484085153e-07,-1.2521324388636909e-06,-8.751847105393211e-09
17.0,0.008439472876489162,-9.831418645993002e-06,-3.8128353322447857e-06,-1.4669260259641386e-07,-1.4398834824402545e-06,-2.1080086293648563e-08
18.0,0.00972610805183649,5.2363491262233604e-05,-9.673985683064825e-07,-1.606970649286824e-07,-4.2871216966877255e-07,-5.816413471892123e-08
19.0,0.010719376616179943,1.0161779173911931e-05,1.1444712882309694e-06,-1.652925921353016e-07,-2.2639369176399182e-07,-6.85340443105517e-08
20.0,0.01029980555176735,-4.272666044988833e-05,-7.003107127759524e-07,-1.6762440313861747e-07,-1.0998086638324324e-06,-5.674621258219203e-08
21.0,0.011150149628520012,-2.246343415664849e-05,-2.5273085110743907e-07,-1.7988743430309175e-07,-3.1687663825825907e-07,-6.45547818160994e-08
22.0,0.018902665935456753,-6.834739972800176e-06,1.8907626866086045e-06,-1.858772475388382e-07,3.0174236822535625e-07,-6.933206866616698e-08
23.0,0.011762402951717377,-4.62949251295107e-05,2.6943444934629528e-06,-1.8232803221616606e-07,-8.022866614615928e-07,-4.709215606020485e-08
24.0,0.017953045666217804,-0.00011202017484396003,-1.3086541130403603e-05,-1.9673152128678347e-07,-4.828898090077764e-06,1.2795336714580146e-09
25.0,0.010062549263238907,0.00019270113853468729,2.404466915368024e-06,-2.4532254620535123e-07,-1.0027906121908473e-06,-1.304044311386304e-07
26.0,0.009784607216715813,-0.00010462979036442671,-7.840392325571413e-06,-2.5513445846624866e-07,-3.0513678175999976e-06,-1.0687766680616602e-07
27.0,0.010992336086928844,0.00011459403310984533,-9.636934928026161e-07,-2.886761190421464e-07,-5.521265774356305e-07,-1.9306189430222464e-07
28.0,0.010088919661939144,1.422438578784647e-05,5.477676804731468e-07,-2.942464797251159e-07,-2.8429274892172027e-07,-2.0278452052984376e-07
29.0,0.008416232652962208,-1.9027055002237176e-05,-8.911741017493707e-07,-2.966391536415913e-07,-5.064324852951421e-07,-1.981743802912083e-07
30.0,0.011052909307181835,1.3928248202782247e-05,-2.1261183983643003e-06,-3.022367059717692e-07,-1.7993000517392132e-07,-2.0802444681475333e-07
31.0,0.00951564684510231,6.238658900598664e-05,3.845946603196411e-06,-3.0394885635784167e-07,9.638827994482888e-07,-2.2825583864446255e-07
32.0,0.009654441848397255,-6.688582780911915e-05,-1.0981130893551714e-06,-2.9464310592189783e-07,-3.324595995381888e-07,-1.9112537081186184e-07
33.0,0.009863495826721191,2.5507927760612162e-05,-1.303154829240075e-06,-2.9792231979449616e-07,-6.186383402153806e-07,-2.019566046859845e-07
34.0,0.02125038392841816,2.2172441890791798e-05,-6.489961452334416e-07,-3.1106862203691234e-07,-5.294362898380043e-07,-2.2964914512550828e-07
35.0,0.010874596424400806,8.980179691866904e-06,3.976064037077026e-06,-3.1682602802133274e-07,-4.1256785524286726e-07,-2.3670671628591378e-07
36.0,0.01899207290261984,-0.00012027752230812522,-1.543309697941196e-05,-3.246615468053828e-07,-5.012032499182494e-06,-1.6119301822826195e-07
37.0,0.010370008647441864,0.00026596296234899017,5.694030445983134e-06,-3.7663636716316493e-07,4.308972253620337e-07,-3.212343673615729e-07
38.0,0.01005601231008768,-0.0001328976223308284,-6.270883728198153e-06,-3.723032593605417e-07,-2.2463060224135135e-06,-2.639751271027524e-07
39.0,0.00998682714998722,0.00011019210710556902,-6.54483623431591e-07,-3.9473672933236074e-07,-6.890563469237608e-08,-3.266013589739348e-07
40.0,0.01905214600265026,3.2517958560988655e-05,8.265758501493657e-07,-3.960495295449252e-07,5.46709354837626e-07,-3.3907067652389707e-07
41.0,0.00991060584783554,1.3321241662413483e-05,5.0432782303879534e-06,-3.90631308615805e-07,1.0614141208366546e-06,-3.3087880906972715e-07
42.0,0.00946825835853815,-9.085313658905713e-05,-5.1145461899990996e-06,-3.805815654943229e-07,-6.686736624058912e-07,-2.831277478104229e-07
43.0,0.010910558514297009,0.00013566048807931976,2.5466878211282796e-06,-3.878771686149717e-07,1.68250131865152e-06,-3.3893030329048293e-07
44.0,0.00991571694612503,5.10042764177559e-06,3.1330972302526255e-06,-3.711939617777411e-07,1.5643223706735992e-06,-3.13678067706031e-07
45.0,0.013949382118880749,-1.8207540181736334e-05,1.8578766082800806e-07,-3.4937263127210163e-07,9.349957098463171e-07,-2.699732972256302e-07
46.0,0.015134314075112343,4.044819044212858e-05,6.487011298159667e-06,-3.3522211254040484e-07,2.102892367650242e-06,-2.671615284153787e-07
47.0,0.009702090173959732,-9.930850669672136e-05,1.1163608822920241e-07,-3.148196611633305e-07,2.0513412068641483e-07,-2.0422395984113805e-07
48.0,0.011939642950892448,1.033613593922152e-05,-5.1551403157029414e-06,-3.123704330052894e-07,4.37304185839226e-07,-2.0289106480724705e-07
49.0,0.010659153573215008,0.00017132413155476062,7.711375817577697e-06,-3.077091405302194e-07,3.6293046024225044e-06,-2.578404971237968e-07
50.0,0.009742737747728825,-7.898781246007481e-05,1.873950156813368e-06,-2.723497775821917e-07,1.3353480519202533e-06,-1.8271058485895936e-07
51.0,0.010069901123642921,1.2577502494577386e-07,4.563766285049749e-07,-2.5890295473370554e-07,1.3019974339606996e-06,-1.6384009206921358e-07
52.0,0.009374981746077538,3.852292320922648e-05,-1.6920404036058829e-06,-2.4669675255688417e-07,-2.7014045692787713e-07,-1.5956156950764303e-07
53.0,0.009980625472962856,4.3984815379992885e-05,-4.70101283940968e-07,-2.493929232825764e-07,4.4745468817082543e-07,-1.7644919106115424e-07
54.0,0.01916257105767727,3.64355789526902e-05,2.491514228602638e-06,-2.408185410254121e-07,1.4701321761242696e-06,-1.8545754031897836e-07
55.0,0.009410926140844822,-1.074669356438482e-05,4.839053987030032e-06,-2.2698323569862713e-07,1.419945126688302e-06,-1.6201008393473497e-07
56.0,0.010801950469613075,-8.256429613199983e-05,-6.611292041604788e-06,-2.1164505877057164e-07,-3.7334410440831836e-07,-1.097388624470529e-07
57.0,0.009706089273095131,0.00017887409675909833,4.8076368509710724e-06,-2.1526876997754252e-07,2.5015018707049765e-06,-1.7390865321337235e-07
58.0,0.009907884523272514,-4.037457432098132e-05,1.2169328588978525e-06,-1.9048417830784744e-07,1.2721893875127114e-06,-1.2627514246412146e-07
59.0,0.013737309724092484,1.4882007560488305e-05,-2.1081789312128936e-06,-1.730077186638818e-07,-3.2432198331646594e-07,-1.0955775886801633e-07
60.0,0.01762660499662161,5.238054304068729e-05,4.398325436108255e-06,-1.7872441415552205e-07,9.500355510554715e-07,-1.4671779615070593e-07
61.0,0.01833967212587595,-8.5868297459625e-05,-2.2507606516566502e-06,-1.6130107364123882e-07,-2.1720139088741585e-06,-6.605394974958018e-08
62.0,0.011066984385251999,-1.4935318995898075e-05,-3.6118336753551624e-06,-1.853387176552993e-07,-1.2411284978822037e-06,-9.096308273640394e-08
63.0,0.010302492417395115,5.980737149652268e-05,-6.607340082201584e-06,-1.981254345937437e-07,-1.1628837203397787e-07,-1.2817397178964283e-07
64.0,0.00982816331088543,0.00019103633593864307,3.641069194135994e-06,-1.9926833570525065e-07,2.676128512501833e-06,-1.9311198916807916e-07
65.0,0.011397832073271275,2.94652490766537e-06,2.108278442559593e-06,-1.687662723132615e-07,1.6654058857632064e-06,-1.5161169392615593e-07
66.0,0.009448870085179806,7.557363496558031e-06,2.5248266291759862e-06,-1.5303006845959115e-07,1.6095590824548256e-06,-1.3169084481902512e-07
67.0,0.008258177898824215,-7.992818180343396e-06,2.720196988227163e-07,-1.3973804321801093e-07,1.5149186100605837e-06,-1.1084037735160115e-07
68.0,0.0103451581671834,5.2138297088362606e-05,1.4923921508819184e-06,-1.2406597058652457e-07,2.581145648363742e-06,-1.0802629054269055e-07
69.0,0.009507887996733189,5.598854850138552e-05,5.601099262219063e-06,-9.952472685862684e-08,2.9628629914738096e-06,-9.383679312490153e-08
70.0,0.009694923646748066,-4.94899384314259e-05,9.319064639766194e-07,-7.079999638051269e-08,1.085191154341661e-06,-3.95345634398308e-08
71.0,0.011509517207741737,1.295144636470706e-05,-3.407341177438397e-06,-5.830997011592822e-08,-9.278415191650418e-07,-2.880876995668614e-08
72.0,0.018918870016932487,6.516057974768895e-05,1.2639155944435271e-06,-7.586368321332482e-08,1.1651924931896319e-07,-9.327181479598487e-08
73.0,0.010162307880818844,-2.5695621931791813e-05,7.763901262181087e-07,-7.467957872770363e-08,-4.070950321944235e-07,-8.042751538988157e-08
74.0,0.011009725742042065,-3.200158522400565e-05,-8.322892136956689e-06,-7.916158338311202e-08,-1.1230607570758185e-06,-7.187967303139077e-08
75.0,0.020427299663424492,0.00020440881493866868,8.963535867072584e-06,-1.0210268200813215e-07,4.587879106238506e-06,-2.418938847793645e-07
76.0,0.018980424851179123,-7.061623437030793e-05,8.246333842338536e-06,-1.5022787405877353e-08,2.06714954670628e-06,-7.176216585354464e-08
