tick,tick_dt,input_force,output_ang_vel,output_angle,output_speed,output_position
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.007909074000053806,0.0,6.349229179026652e-06,0.0,-4.936916851916812e-08,0.0
3.0,0.009943980999992164,0.0,1.706988005358862e-08,6.313661432083687e-08,2.857253661453377e-09,-4.90926073740019e-10
4.0,0.016232926000043335,-0.00018574172857255977,-7.062483216440184e-06,6.34137084205764e-08,-5.274449516937517e-06,-4.445444864902935e-10
5.0,0.009452425999938896,5.92319136916573e-06,-6.5066450580279795e-06,-3.3438915586348865e-09,-4.724901875268357e-06,-5.0300888235755625e-08
6.0,0.009100963000037154,5.92319136916573e-06,-1.1248635818312508e-05,-6.256062748612213e-08,-4.652543516031639e-06,-9.330204538137911e-08
7.0,0.011321888999987095,0.00015934555967002883,-2.2168718911415444e-06,-1.8991643362233536e-07,-9.55647365782563e-07,-1.4597762663749902e-07
8.0,0.01019214899997678,0.00015934555967002883,5.100839287717269e-06,-2.1251112225071027e-07,2.2011269514429263e-06,-1.557177269809902e-07
9.0,0.011838758999942911,-5.176284582788615e-05,8.606830361338601e-07,-1.5212351522598506e-07,9.632473509492012e-07,-1.2965911547457835e-07
10.0,0.006922629999962737,-5.176284582788615e-05,9.301999738004314e-07,-1.4616532501958578e-07,2.470303549202294e-07,-1.2299091046551277e-07
11.0,0.00957264800001667,-7.733150045557019e-06,-4.7595286840911604e-06,-1.3726084810076953e-07,8.808689346937573e-08,-1.2062617583254224e-07
12.0,0.010057778000032158,-7.733150045557019e-06,3.1275237862834983e-06,-1.851311309901436e-07,-1.3984147299594659e-07,-1.1974021741331476e-07
13.0,0.009693869999978233,-8.061114775381442e-05,-1.913444533130065e-06,-1.5481332198407165e-07,-8.602514355671963e-07,-1.2109582247314295e-07
14.0,0.004715685999940433,-8.061114775381442e-05,1.370025931560363e-06,-1.6383652558061566e-07,6.687012772810942e-07,-1.2515249812427584e-07
15.0,0.010437426000066807,-3.223822811879089e-06,5.390370396532453e-06,-1.4953698130178178e-07,3.892832495467299e-06,-1.1817297802650426e-07
16.0,0.01073966699993889,-3.223822811879089e-06,5.2777290154947505e-06,-9.164619823669468e-08,3.8239623998046565e-06,-7.636525333864436e-08
17.0,0.00895774100001745,-7.844240825600172e-06,2.038609751066318e-05,-4.436966864761562e-08,3.5621404488023146e-06,-4.211118856738906e-08
18.0,0.004856370000084098,-7.844240825600172e-06,1.647168999625035e-06,5.463276372195816e-08,3.5284519720014353e-06,-2.4812116555739397e-08
19.0,0.010284796000064489,7.225467597271344e-05,-8.851583535870556e-06,7.157356086073195e-08,4.995665363886534e-06,1.1477292172320626e-08
20.0,0.010432852000008097,7.225467597271344e-05,1.5067084154243764e-05,-2.0773700134713928e-08,6.327257550223979e-06,6.359632955531542e-08
21.0,0.009432518000039636,-0.00020110987590694047,7.299118112072465e-06,1.2134684235830234e-07,2.5705092066812533e-06,1.232783002886898e-07
22.0,0.005476388999909432,-0.00020110987590694047,7.694326957790712e-07,1.613196524962957e-07,3.0027521466135453e-07,1.3735540863232494e-07
23.0,0.010684778000040751,-2.2645864413391724e-05,-7.693554594673958e-06,1.6954087003666795e-07,-2.60058052533966e-07,1.4056378263989609e-07
24.0,0.00899536999997963,-2.2645864413391724e-05,4.8841583100956024e-06,1.003344998425324e-07,-7.580928185433138e-07,1.3822446423587893e-07
25.0,0.010200981000025422,-0.00017293863423185348,9.136746029720016e-07,1.501577059649339e-07,3.108274282494307e-07,1.3049117379766286e-07
26.0,0.010634611000000405,-0.00017293863423185348,-4.289224376949774e-06,1.5987427994812096e-07,-2.27502663074567e-06,1.337967025852261e-07
27.0,0.01012164799999482,3.055034236458553e-05,-2.0441266975577464e-06,1.1646026061163824e-07,-9.965638395614502e-07,1.1076968383820424e-07
28.0,0.008838943999990079,3.055034236458553e-05,-6.88215171305948e-07,9.839233920304066e-08,-2.928467500969263e-07,1.0196111186790548e-07
29.0,0.010110574000009365,3.5166966118801403e-06,-1.6720782739143648e-06,9.143408878562275e-08,-1.8337966224524133e-07,9.900026313038826e-08
30.0,0.010370351999995364,3.5166966118801403e-06,7.991504676037775e-07,7.409404851358612e-08,-1.267097052672257e-07,9.709855148326484e-08
31.0,0.009880037000016273,-3.0954228447052144e-05,-9.798701682487324e-07,8.198968470209175e-08,-4.978146746839564e-07,9.584665490696349e-08
32.0,0.005506018999994922,-3.0954228447052144e-05,2.2416209083813883e-06,7.659450093818602e-08,9.464664793335491e-07,9.310567784967734e-08
33.0,0.009469241000033435,-3.4378228452763145e-05,-4.123566232140146e-06,9.782094955036326e-08,1.6506545555679067e-06,1.0206799704093988e-07
34.0,0.009612276999973801,-3.4378228452763145e-05,7.43980205629722e-06,5.8184088699293906e-08,8.955389198954271e-07,1.1793454586032726e-07
35.0,0.009885723000024882,-0.00018322099770565374,-8.719286240871868e-07,1.3173191100286374e-07,-4.033872892515391e-07,1.2678759555815492e-07
36.0,0.010343036999984179,-0.00018322099770565374,-2.971198783566227e-06,1.2271352098258466e-07,-1.4023966529381013e-06,1.2261534590010295e-07
37.0,0.011584259999949609,2.7751608645158015e-05,-2.513780469048578e-07,8.829438176221949e-08,-4.492450581547102e-07,1.0636961844940889e-07
38.0,0.007830685000044468,2.7751608645158015e-05,7.187322782424499e-07,8.632591946098114e-08,-1.660236140176875e-08,1.028517219111727e-07
39.0,0.007135332999951061,-2.575335822681597e-05,-2.9463965630686937e-06,9.14543136040545e-08,-3.821966226034919e-07,1.0273325853398554e-07
40.0,0.009391110999899865,-2.575335822681597e-05,-2.438556097089235e-06,6.378437643055293e-08,-8.590644126502531e-07,9.91440076273293e-08
41.0,0.009675110999978642,3.764767031526429e-05,1.8608576650035646e-06,4.0191075511539886e-08,-1.571335328127833e-07,9.083246407880665e-08
42.0,0.009291147999988425,3.764767031526429e-05,1.010140922733156e-06,5.7480579484000885e-08,3.8777844854543006e-07,8.937251316968204e-08
43.0,0.010460018000003402,-1.689585667638796e-05,4.856264920401406e-08,6.804667171832974e-08,1.9844191654194892e-08,9.342868272148064e-08
44.0,0.009492758999954276,-1.689585667638796e-05,3.408917249410634e-07,6.850766524362277e-08,-3.0327910916376074e-07,9.361705885040281e-08
45.0,0.009736222000015005,-2.3614212020804567e-05,-1.5878744174999035e-06,7.182666275561701e-08,-7.558474986733234e-07,9.066426611561765e-08
46.0,0.005251887999975224,-2.3614212020804567e-05,-1.1413729361218614e-06,6.348732415688162e-08,-5.623619436745852e-07,8.669463970752393e-08
47.0,0.010436333000029663,1.0138779789512811e-05,-7.135822576143954e-06,5.157557611829229e-08,7.723019276249017e-08,8.082564319679204e-08
48.0,0.00953005500002746,1.0138779789512811e-05,7.461242065441688e-06,-1.6429205502797232e-08,1.6191046723746878e-07,8.156165118148129e-08
49.0,0.010167295999963244,-0.0002036745433335882,9.231073146266645e-07,5.9431451103925536e-08,3.182024918128021e-07,8.320784282737699e-08
50.0,0.01037077799992403,-0.0002036745433335882,-3.6976591293573705e-06,6.90047921340247e-08,-1.919525852870112e-06,8.65078502289902e-08
51.0,0.010002165999935642,3.435051916995824e-05,-1.1131122607843387e-06,3.2020191711014785e-08,-6.451181825437151e-07,6.73084340074153e-08
52.0,0.004664314000024206,3.435051916995824e-05,1.728101733193622e-06,2.68282866094398e-08,6.561769164616482e-07,6.429940023690648e-08
53.0,0.010708926000006613,-2.5775999019402217e-05,4.920828550555237e-06,4.5334400190693476e-08,1.836082281828773e-06,7.132635027820679e-08
54.0,0.009651777000044603,-2.5775999019402217e-05,4.111436802062595e-06,9.282914001610533e-08,1.3412118653465025e-06,8.904780701615115e-08
55.0,0.009389722000037182,-7.640212136030431e-05,1.3416041085968474e-05,1.31434388608195e-07,-1.6791424934237716e-07,1.0164141357490611e-07
56.0,0.004809443999988616,-7.640212136030431e-05,-3.967946416366199e-06,1.9595808691270686e-07,-8.626855183852047e-07,1.0083383939589382e-07
57.0,0.006682796000063718,6.625914063296476e-05,-9.44996310128463e-06,1.6944111047294767e-07,1.4708631330232207e-08,9.506868806431628e-08
58.0,0.00907742499998676,6.625914063296476e-05,7.578144219109259e-06,8.365977916839415e-08,1.0873985582390187e-06,9.520220456206892e-08
59.0,0.01110031500002151,-0.00018459966231682045,-3.3484006671602853e-06,1.6777956711609894e-07,-1.8604495360845294e-06,1.0727267108909125e-07
60.0,0.007929443999955765,-0.00018459966231682045,-6.173056692538263e-06,1.4122861153643694e-07,-3.3122220768991647e-06,9.252034067796529e-08
61.0,0.007391536999989512,4.7381127454124605e-05,-6.042078734892931e-06,9.56002345905075e-08,-2.734881463176611e-06,6.803792864438301e-08
62.0,0.008075203999965197,4.7381127454124605e-05,-2.998662438348429e-06,4.680921622239544e-08,-1.4740077188904462e-06,4.595320291350857e-08
63.0,0.009604647999935878,3.054815935370244e-05,-4.0364243975908545e-07,1.800811903142936e-08,-8.055750911381438e-07,3.17958776243774e-08
64.0,0.005744221999975707,3.054815935370244e-05,2.8455271605833494e-07,1.568950724884135e-08,-4.5728030888030994e-07,2.7168475463229238e-08
65.0,0.01024177800002235,-2.5116882295839925e-05,-6.182461294402584e-06,1.8603832996014212e-08,-9.790415146386623e-07,2.2485112055895455e-08
66.0,0.011305926000090949,-2.5116882295839925e-05,3.94593946062009e-06,-5.1294616896927907e-08,-1.6386226454397354e-06,1.1416141140373779e-08
67.0,0.00796900000000278,-0.000166975006480567,-2.5693123944991772e-06,-1.984942533523544e-08,-1.3206351502440466e-06,-1.6420427211400277e-09
68.0,0.004816203000018504,-0.000166975006480567,-6.675808433716507e-06,-3.22237553976071e-08,-3.084153540398595e-06,-8.002489693675293e-09
69.0,0.0076265000000148575,8.500016455354632e-05,-7.769850021998863e-06,-8.313680841744524e-08,-1.216786499193203e-06,-3.1523786669571005e-08
70.0,0.009079222000082154,8.500016455354632e-05,5.8536938002003e-06,-1.5368100167451612e-07,2.2110775306680088e-07,-4.257126142244888e-08
71.0,0.008154295999929673,-0.0001458122264340661,-2.009294333744745e-06,-1.0594824973472969e-07,-1.1522817325729153e-06,-4.0768283356062825e-08
72.0,0.0053631849999646874,-0.0001458122264340661,-2.2576557296783953e-06,-1.1672446696598355e-07,-1.191342333250003e-06,-4.694818345993121e-08
73.0,0.010263537000014367,3.337305548878746e-05,-2.943447652158634e-06,-1.398960000808322e-07,1.1774704167055907e-06,-5.9175569576926057e-08
74.0,0.010250369999994291,3.337305548878746e-05,9.35520484354829e-06,-1.700674275910727e-07,1.7629085686301472e-06,-4.7106062141646294e-08
75.0,0.009094833000062863,-0.00018970077262581527,2.080687161680861e-07,-8.498340185762177e-08,-9.088383762614207e-09,-3.107270311557525e-08
76.0,0.005641702999923837,-0.00018970077262581527,-2.6815167269625674e-06,-8.380953995742597e-08,-1.3470166627520277e-06,-3.1123977077513246e-08
77.0,0.009691239999938261,3.701874971246078e-05,-4.988952488245796e-06,-1.0979676212226912e-07,3.786215326689841e-07,-4.417823884015904e-08
78.0,0.010326481999982207,3.701874971246078e-05,7.750114477109555e-06,-1.6131509019090576e-07,1.03991311095974e-06,-4.0268410398247104e-08
79.0,0.009767537000016091,-0.00017004461351805784,-1.5966620682797684e-06,-8.561556028137783e-08,-8.252459662974206e-07,-3.0111020610146006e-08
80.0,0.005273704000046564,-0.00017004461351805784,1.2633902582759863e-06,-9.403588341758746e-08,3.1928789105908904e-07,-3.446312356363101e-08
81.0,0.01064249999990352,-1.5865304376702355e-05,-2.215467129492404e-06,-8.059025259400717e-08,3.628163408191241e-06,-3.106510218306546e-08
82.0,0.008761703999994097,-1.5865304376702355e-05,1.2273935772328462e-05,-1.000015198043362e-07,3.242321187186224e-06,7.237916631159521e-10
83.0,0.006718667000086498,-0.000226206440609859,6.405098337068012e-07,-1.753703256961178e-08,2.2045062444852367e-07,2.2507868027145315e-08
84.0,0.00861357400003726,-0.000226206440609859,-7.769834784363894e-06,-1.2019953719226688e-08,-3.422504527901393e-06,2.4406735794187097e-08
85.0,0.010950426000022162,0.00010389996482750216,6.571665250283195e-07,-9.710295455780166e-08,-1.1385882369204136e-06,-1.307114677333789e-08
86.0,0.008703778000040074,0.00010389996482750216,2.2681862078411734e-06,-9.138312301489739e-08,6.666372976809074e-07,-2.29811660209502e-08
