tick,tick_dt,input_force,output_position,output_ang_vel,output_speed,output_angle
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.011815404000003582,0.0,0.0,9.485144258127921e-06,-7.375284024320014e-08,0.0
3.0,0.00922440899998378,0.0,-6.803263633137412e-10,2.17065474594244e-08,3.675217611659231e-09,8.749485006081967e-08
4.0,0.009820630000007213,-0.00027748046898109575,-6.442334109801257e-10,-9.687118296384248e-06,-4.253172148496538e-06,8.770802203199627e-08
5.0,0.011392941999986306,0.00011608700490283987,-4.9100377014758326e-08,-1.8403118022836233e-06,-1.1524515552882865e-06,-2.2656754865715632e-08
6.0,0.008716206000002558,0.00011608700490283987,-5.914538217567437e-08,2.201517999229665e-06,7.797680555485551e-07,-3.869729163865567e-08
7.0,0.010434406000001673,-3.4331593703367455e-05,-5.1008965698248886e-08,-2.072960921976653e-06,5.999219509460566e-08,-1.5725759018381975e-08
8.0,0.009239223999998103,-3.4331593703367455e-05,-5.045468436951824e-08,4.119989694247845e-07,-5.957292715372975e-07,-3.487830931976686e-08
9.0,0.010475166000020408,-3.2288616672066825e-05,-5.669504737994266e-08,-2.651887755334416e-06,-1.1534980746396632e-06,-3.056255172320491e-08
10.0,0.004958397999985209,-3.2288616672066825e-05,-6.241454992622276e-08,-1.8325263360158392e-06,-9.243874787293349e-07,-4.371166666544034e-08
11.0,0.012553050999997595,2.1190205683084394e-05,-7.401843309047129e-08,-8.639143959877054e-07,5.373070483389441e-07,-6.67154632202859e-08
12.0,0.007282597999989093,2.1190205683084394e-05,-7.010544185485805e-08,-3.6185222860069047e-07,8.4427300683495e-07,-7.300700447266775e-08
13.0,0.010226351999989447,4.571037435755938e-05,-6.147160890287435e-08,1.4988509287302868e-05,1.6621327484675873e-06,-7.670743273431906e-08
14.0,0.00478241700000126,4.571037435755938e-05,-5.3522596990344145e-08,1.8516078323604327e-06,2.146557856954643e-06,-5.026131114045052e-09
15.0,0.010524722000013753,2.1672631637747245e-05,-3.0930672288951237e-08,-5.119144730565034e-06,2.591886866430807e-06,1.446152657459657e-08
16.0,0.009007316999998238,2.1672631637747245e-05,-7.584725654876866e-09,-4.484043310583763e-06,2.980194388468296e-06,-3.164823278247326e-08
17.0,0.0062410439999780465,2.1672631637747245e-05,1.1014798652041435e-08,1.349924125208963e-05,3.1097688278595487e-06,-5.963334438163376e-08
18.0,0.008592151000016202,0.0002412352872823571,3.773440199615407e-08,7.0178247858673604e-06,7.160849619070809e-06,5.635417484196811e-08
19.0,0.010259593000000677,5.168221784677103e-05,1.1120180462203047e-07,1.532625619658184e-05,6.645722857295807e-06,1.2835420089028414e-07
20.0,0.004783972999973685,5.168221784677103e-05,1.4299476333664158e-07,4.740662124908396e-06,2.2249350780881207e-06,2.0167459672541106e-07
21.0,0.010344406999990952,-7.240871460802753e-05,1.6601039733294176e-07,-4.385637537483937e-06,-5.942781158936125e-06,2.5071393519490544e-07
22.0,0.005039158000016641,-7.240871460802753e-05,1.3606378411354061e-07,-7.523414921378932e-06,-6.0885080873157735e-06,2.2861401471271997e-07
23.0,0.009753242000016371,-2.1969513913149713e-05,7.668109131889306e-08,-7.936230122802265e-06,-4.288940578327952e-06,1.552363283179771e-07
24.0,0.0048171400000001086,-2.1969513913149713e-05,5.602066410140589e-08,-7.026581550766037e-06,-3.913584620360119e-06,1.1700639674422053e-07
25.0,0.011024684000005891,5.109160903616039e-05,1.2874630354652558e-08,-7.337781994168588e-06,-9.48770578702931e-07,3.9540555546753623e-08
26.0,0.008913984000002984,5.109160903616039e-05,4.417304596421061e-09,6.511264528538233e-06,-1.3151218834179546e-07,-2.5868315744775154e-08
27.0,0.011066424999995661,-0.00019009400015633022,2.961934827551278e-09,2.0168394158461514e-06,8.196786008911738e-07,4.6188104815425314e-08
28.0,0.0090090019999991,-0.00019009400015633022,1.0346420982336326e-08,-4.324310005004905e-06,-2.8305118928053845e-06,6.435781514646031e-08
29.0,0.006759783999996216,1.5670657595902987e-05,-8.787228022448518e-09,-4.387329475801372e-06,-1.9880018630561675e-06,3.5126413563604595e-08
30.0,0.00925924300000247,1.5670657595902987e-05,-2.719462035694321e-08,-5.353950056752203e-06,-1.401956075844872e-06,-5.496936173913763e-09
31.0,0.009691224000022203,0.0001033989051365734,-4.078129072614798e-08,3.8380984251279946e-06,5.42431559418432e-07,-5.738326545883095e-08
32.0,0.010215555999991466,0.0001033989051365734,-3.5240050754746285e-08,2.3620598527027903e-06,1.049785468832107e-06,-1.817495606345687e-08
33.0,0.009650557000014715,-3.0257363401056614e-05,-2.5109036249994867e-08,1.420901150233479e-06,5.590577314252131e-07,4.620237182497769e-09
34.0,0.009983167000001458,-3.0257363401056614e-05,-1.9527869554535003e-08,-1.5867660667735304e-07,-4.194213508966925e-08,1.880533065577275e-08
35.0,0.011285219999990659,-2.7217074305455737e-07,-2.0001195776291248e-08,8.672359495860635e-08,-4.9718775165078576e-08,1.7014630240566835e-08
36.0,0.008223874000009346,-2.7217074305455737e-07,-2.041007671868365e-08,7.670321632096927e-07,-5.870646501696405e-08,1.772783415833426e-08
37.0,0.011287072000015996,-2.762268502507121e-05,-2.1072700816196544e-08,-4.009993953210998e-06,-6.846196297980827e-07,2.638538141081008e-08
38.0,0.010344019000001481,-2.762268502507121e-05,-2.815441927460189e-08,8.657832284782119e-07,-1.2955841897549006e-06,-1.5094072231095528e-08
39.0,0.008369633000000931,-7.186443859384286e-05,-3.899798346345398e-08,-1.6250497510493988e-06,-8.172790884170316e-07,-7.84778435117694e-09
40.0,0.005271916999987525,-7.186443859384286e-05,-4.330661098341403e-08,-4.339782224188027e-06,-1.9385384517419225e-06,-1.6414911759559762e-08
41.0,0.010205982000002223,5.493882603702786e-05,-6.309129952820427e-08,-7.390108615389935e-06,-5.959300355578312e-07,-6.070665102355238e-08
42.0,0.010349445000002788,5.493882603702786e-05,-6.925884465505975e-08,7.800456850393207e-06,4.248315768064055e-07,-1.3719017368257728e-07
43.0,0.0092305020000083,-0.000198317400701465,-6.533743593568154e-08,-7.270335573372153e-07,-3.4960365990571326e-07,-6.518804112404434e-08
44.0,0.010738591999995606,-0.000198317400701465,-6.909168700111422e-08,-5.539477866520254e-06,-2.513620750627705e-06,-7.299535786659411e-08
45.0,0.010364685000013196,7.408094129095234e-05,-9.51445742908671e-08,-5.896590643700886e-07,-1.0674213158400956e-06,-1.304103010176217e-07
46.0,0.009158798999976625,7.408094129095234e-05,-1.049208715709371e-07,2.25969384434831e-06,9.350235581591419e-07,-1.358108698667016e-07
47.0,0.009946278999990454,-2.150813161852017e-05,-9.562086638992248e-08,-2.3727705587517385e-07,5.593287159299293e-07,-1.1333532443625231e-07
48.0,0.010836553999979515,-2.150813161852017e-05,-8.95596705560086e-08,6.966931547118545e-07,7.603610321061585e-08,-1.159065900651998e-07
49.0,0.009331797999976743,-8.832445398673089e-06,-8.885011700014175e-08,3.842529797629901e-07,-9.160836007337877e-08,-1.0940519027746222e-07
50.0,0.004967712999984997,-8.832445398673089e-06,-8.930520104138559e-08,-6.960856227575298e-07,-1.810760577455363e-07,-1.0749633175461064e-07
51.0,0.010314462999986063,2.1219506911147397e-05,-9.117290333918526e-08,-8.90433443729223e-07,2.485071940567662e-07,-1.1467608115536543e-07
52.0,0.010361314999983051,2.1219506911147397e-05,-8.859804202180119e-08,8.995122530237807e-06,6.095680384643162e-07,-1.2390214255236358e-07
53.0,0.008929298999987623,-0.00022891933046587017,-8.315502674551735e-08,-3.1727552715690892e-06,-1.4893874430244976e-06,-4.3582003938345e-08
54.0,0.005385898000014322,-0.00022891933046587017,-9.117671559614943e-08,-4.372921348341997e-06,-1.9964160455112633e-06,-6.067014021002386e-08
55.0,0.010650758999986465,5.629902247529441e-05,-1.1244006176059591e-07,-4.1006268455827155e-06,1.8516694238811046e-06,-1.0724507161711034e-07
56.0,0.010309352000007266,5.629902247529441e-05,-9.335054988215495e-08,1.1871731793292064e-05,2.891124804746397e-06,-1.49519877188902e-07
57.0,0.009263002000011511,-0.00022681167088857963,-6.657005503350618e-08,1.8215566217751407e-07,1.389772631571806e-07,-3.955200184403735e-08
58.0,0.010589684999985138,-0.00022681167088857963,-6.50983295945116e-08,-5.751343182625794e-06,-2.5357447367187974e-06,-3.762303076061377e-08
59.0,0.010154500999988159,7.545445461877505e-05,-9.084755205923734e-08,-1.0442614701585877e-06,-1.111415899943991e-06,-9.602505085986248e-08
60.0,0.009106169000006048,7.545445461877505e-05,-1.0096829307342113e-07,9.298461828899411e-07,3.448051177950252e-07,-1.0553427228732135e-07
61.0,0.0122668119999787,-7.730895936667695e-06,-9.673863351679904e-08,-1.165322239160509e-06,1.8113363937918298e-07,-9.412802397291263e-08
62.0,0.007961097000020345,-7.730895936667695e-06,-9.529661104373467e-08,1.5227831929388387e-06,3.890060421735868e-08,-1.0340526735515035e-07
63.0,0.009959296999994649,-3.592292852642762e-05,-9.490918837285474e-08,-4.4470538027208395e-06,-6.867592776108718e-07,-8.82394172700723e-08
64.0,0.004965214000009155,-3.592292852642762e-05,-9.831909515268442e-08,-1.0025712186937733e-06,-1.0507077615880198e-06,-1.1031999107013576e-07
65.0,0.01020750000000703,-1.6001377682741972e-06,-1.0904419462910152e-07,-8.35827554621965e-06,-1.1083266186942748e-06,-1.205537367849595e-07
66.0,0.010070871000010584,-1.6001377682741972e-06,-1.202060090318495e-07,4.886858357231093e-06,-1.2511346777874277e-06,-2.047288515934806e-07
67.0,0.009437241999989965,-0.00016956220983829943,-1.320132697607089e-07,-2.3110751069319247e-07,3.4520164247207505e-08,-1.5861038665661736e-07
68.0,0.004805991000012,-0.00016956220983829943,-1.318473661620179e-07,5.280753198342752e-07,2.62020468213002e-07,-1.59721087273044e-07
69.0,0.010965239999990217,5.558917148196178e-06,-1.2897424884315253e-07,5.690284172892939e-06,5.558612442250583e-06,-1.539306146529896e-07
70.0,0.009867352999975765,5.558917148196178e-06,-7.412545768540863e-08,5.868738405564799e-06,5.667721190406091e-06,-9.778257204887984e-08
71.0,0.009189131999988831,4.270886055445251e-05,-2.2044019527633226e-08,2.4259326504625253e-05,6.312281793713904e-06,-4.385396016674092e-08
72.0,0.005464305000003833,4.270886055445251e-05,1.2448213439190823e-08,6.929508471104024e-06,6.8196369487945835e-06,8.870639894920835e-08
73.0,0.009768871000005674,3.6589616065776096e-05,7.906836705883741e-08,-6.453250127087824e-07,7.526540216316703e-06,1.563998732968701e-07
74.0,0.0096039830000052,3.6589616065776096e-05,1.513531313451985e-07,2.0658874179493588e-05,8.074022843640271e-06,1.5020218284533683e-07
75.0,0.009858019999995804,-0.0003150391683871294,2.309470100182273e-07,1.1131013520309563e-06,6.404275799877605e-07,3.538577776841815e-07
76.0,0.00572345200001223,-0.0003150391683871294,2.3461246653177123e-07,-1.9130685025237474e-06,-7.707843039947049e-07,3.602285598436794e-07
77.0,0.010183296000008113,-1.7359141614783235e-06,2.267633418120329e-07,-5.418878703368654e-06,4.802342882110596e-07,3.407472170141878e-07
78.0,0.009841518999991195,-1.7359141614783235e-06,2.314895766839093e-07,6.392230268244706e-06,3.657101311035456e-07,2.8741721929633753e-07
79.0,0.010307517999990523,-0.00019272249425352094,2.3525914044303797e-07,7.148714982088103e-07,3.338007036342932e-07,3.533052478463541e-07
80.0,0.009427743000003375,-0.00019272249425352094,2.3840612769012238e-07,-3.057055016866853e-06,-1.451275337789852e-06,3.6004487260949413e-07
81.0,0.009840814999989789,6.98571918692494e-06,2.2412439557688476e-07,-2.1811316216254318e-06,-9.73224261171876e-07,3.2996095974371675e-07
82.0,0.004955564999988837,6.98571918692494e-06,2.1930151949108142e-07,-1.9974104231665673e-06,-8.891541330015821e-07,3.1915222021922086e-07
83.0,0.010576963000005435,4.0722735112762743e-07,2.0989696912502178e-07,-1.6101917927338854e-06,-7.255528955559623e-07,2.980256840775629e-07
84.0,0.010595499999993763,4.0722735112762743e-07,2.022093734201631e-07,7.240831849002035e-06,-7.741695487228778e-07,2.8096489693766105e-07
85.0,0.008729540000018687,-0.00025953497331384826,1.9545122937779033e-07,-3.3285060328797685e-06,-1.597529463600074e-06,3.4417402819693356e-07
86.0,0.004851991000009548,-0.00025953497331384826,1.8770003079815268e-07,-5.321464258471833e-06,-2.5930553145071696e-06,3.2802414688192345e-07
87.0,0.005267693999996936,-0.00025953497331384826,1.740406088762631e-07,-1.2439577524802213e-05,-5.041659886739496e-06,2.9999230153637325e-07
88.0,0.010458740000018452,3.2096420474307484e-05,1.2131119895233224e-07,-5.62271863278108e-06,-3.2062728013282016e-06,1.6988999449439383e-07
89.0,0.010007056000006287,3.3531756041456275e-05,8.92258474781439e-08,-5.741186846836519e-07,-2.618174542016714e-06,1.1362313426387479e-07
90.0,0.004779417999998259,3.3531756041456275e-05,7.671249694489202e-08,1.440901933696974e-06,4.799293835761086e-07,1.1087918108816242e-07
91.0,0.010161796999994976,-3.309138913655586e-05,8.158944191512516e-08,4.598933917944656e-06,2.9244400090185992e-06,1.255213340352913e-07
92.0,0.01088525800000184,-3.309138913655586e-05,1.1342272591882032e-07,1.1732916436786223e-05,2.1501927550285796e-06,1.7558191625707818e-07
93.0,0.00866048399998931,-0.0002763047606681499,1.3204443587063828e-07,-2.877546888542198e-06,-1.9475780020941856e-06,2.7719465133107685e-07
94.0,0.004890935000020136,-0.0002763047606681499,1.2251895845492654e-07,-5.066511742629519e-06,-2.528440492396444e-06,2.6312075653970677e-07
95.0,0.010719184000009818,3.1002827483072025e-05,9.541613958385363e-08,-4.04689530721878e-06,9.788191191515442e-07,2.0881188493225056e-07
96.0,0.01046264799998653,3.1002827483072025e-05,1.0565717948319311e-07,1.1000700046338302e-05,1.5218065839565732e-06,1.664706438400231e-07
97.0,0.009147390999999061,-0.00027723008304056466,1.195777393330168e-07,-3.064443443868744e-06,-1.7816888611373408e-06,2.670983484375873e-07
98.0,0.004849528000022474,-0.00027723008304056466,1.109373893136031e-07,-2.9530844903318544e-06,-1.6465346404015293e-06,2.5223724415206057e-07
99.0,0.009943501000009292,2.3583698967475026e-06,9.456507047022055e-08,-1.8478484508874755e-07,2.2028191449732945e-06,2.2287324556933383e-07
100.0,0.01049616599999581,2.3583698967475026e-06,1.1768622588382909e-07,1.2495743428483382e-05,2.163264026354817e-06,2.2093371316099884e-07
101.0,0.009218575999994982,-0.00030306211910805794,1.3762843971883612e-07,-1.8569598211519048e-06,-1.1789053901755979e-06,3.361266736329108e-07
102.0,0.00503019399999971,-0.00030306211910805794,1.3169831689860751e-07,-2.928634888200883e-06,-1.7028484577670334e-06,3.2678580548231195e-07
103.0,0.010695778000012979,-8.034467062856366e-06,1.1348502782666685e-07,-7.576890434134149e-07,2.0783449154017385e-06,2.9546177687502247e-07
104.0,0.009674668000002384,-8.034467062856366e-06,1.3359232487267171e-07,1.1426197836551319e-05,1.838072727518289e-06,2.8813138693275826e-07
105.0,0.009845427000016116,-0.0002909111818700387,1.5168893573217354e-07,-2.2404303460422436e-06,-1.4677467361733568e-06,4.0062718362026635e-07
106.0,0.00565754499999116,-0.0002909111818700387,1.4338509252368262e-07,-1.221624410590692e-06,-9.36727588923096e-07,3.8795184811818657e-07
107.0,0.010397240999992619,-3.6303770433107625e-05,1.3364571003030717e-07,-1.5585730718261443e-06,2.3521065109841866e-06,3.752503247098012e-07
108.0,0.009246408999985078,-3.6303770433107625e-05,1.5539424884239485e-07,9.528620763242912e-06,1.6061807849049786e-06,3.6083912063133355e-07
109.0,0.01034535200000164,-0.0002517035391266312,1.7201075443787577e-07,2.149021019943953e-06,3.2133873696831966e-07,4.5941605650160577e-07
110.0,0.010542278000002625,-0.0002517035391266312,1.7539839673516552e-07,-4.210504485095061e-06,-2.68824026167001e-06,4.820716335217041e-07
