tick,tick_dt,input_force,output_speed,output_ang_vel,output_angle,output_position
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.009498020999899381,-0.0,-5.9287522071352124e-08,7.624800586653857e-06,0.0,0.0
3.0,0.010527127999921504,-0.0002230575714079468,-1.4068527302811724e-07,-3.1287881762673644e-07,8.026725174958174e-08,-6.241273336432951e-10
4.0,0.011070710000012696,-5.582362510148478e-06,-3.3500906329713504e-08,8.501947312402685e-07,7.680346109448927e-08,-2.181613192610189e-09
5.0,0.01034828000001653,-3.507378646220523e-05,-6.891498426661706e-07,-8.067151054833476e-07,8.560151422790238e-08,-2.52828995156439e-09
6.0,0.017745105000130934,-1.1893283356243593e-05,-1.0610990734101598e-06,-2.459002887001975e-06,7.128626997590867e-08,-1.47573262704993e-08
7.0,0.00947696499997619,2.3492292887876703e-05,-6.42961620419396e-07,2.2165442691199257e-06,4.7982385680950545e-08,-2.481332505071455e-08
8.0,0.011001229999919815,-9.463102568594557e-05,-2.7249396249660797e-06,-8.727695853403839e-06,7.236709899054301e-08,-3.1886693718069466e-08
9.0,0.00943355899994458,0.0001437005470861617,-6.18327622058418e-08,1.3578705816699764e-06,-9.966134776113758e-09,-5.759257244147384e-08
10.0,0.009416412000064156,-4.3705753220341095e-05,-8.834014548705558e-07,-2.206844276020156e-06,2.8201340636575033e-09,-5.817481520550604e-08
11.0,0.010291929999993954,2.8249143301723095e-05,-1.0277510866674074e-07,-1.4185585021475206e-07,-1.989255274602928e-08,-6.726672114092663e-08
12.0,0.010890676999906646,-1.1176294338405502e-06,-1.1948942126413869e-07,4.12183795766827e-07,-2.143745899126528e-08,-6.83860116530464e-08
13.0,0.01029239299987239,-1.765638915747208e-05,-4.801091673730842e-07,-2.970621353329413e-07,-1.719510137705396e-08,-6.961584373602423e-08
14.0,0.010749217000011413,-1.0750518748823867e-05,-5.093704902352331e-07,-1.088469564401186e-06,-2.03882867322345e-08,-7.477664135981231e-08
15.0,0.009368709000000308,1.1200262267580372e-05,-1.7997322872497452e-07,-2.9797096182561154e-07,-3.058584133646631e-08,-7.95487852560137e-08
16.0,0.011592865000011443,1.170086382200385e-06,-1.213204445448638e-07,-1.3191708195617128e-06,-3.4040178470834185e-08,-8.163519060023852e-08
17.0,0.01763971900004435,3.3172021199089515e-05,1.0020775623952449e-06,4.622066967170703e-06,-5.730998104096101e-08,-8.377524915097039e-08
18.0,0.009741941999891424,-9.561157986218234e-05,-8.441371802438862e-07,7.727230285681651e-07,-1.2282072727169964e-08,-7.401306765872333e-08
